title,authors,released,publisher,label,serialization,volume,vol error,entry link,img src
でこぼこ魔女の親子事情 (5),ピロヤ,2023-04-12,ﾌﾚｯｸｽ,メテオ,,5,,http://yurinavi.com/2023/03/20/dekobokomajyo-5/,http://yurinavi.com/wp-content/uploads/2023/03/dekobokomajyo-5.jpg
ヤマノススメ (23),しろ,2023-04-12,ｱｰｽｽﾀｰ,,,23,,http://yurinavi.com/2023/03/30/yamanosusume-23/,http://yurinavi.com/wp-content/uploads/2023/03/yamanosusume-23.jpg
彼女と私の異国ごはん (2),にしむら染,2023-04-14,秋田書店,,,2,,http://yurinavi.com/2023/03/21/kanojo-to-watashi-no-2/,http://yurinavi.com/wp-content/uploads/2023/03/kanojo-to-watashi-no-2.jpg
天使の牧場 match作品集 (2),match,2023-04-14,GOT,MeDu,,2,,http://yurinavi.com/2023/03/23/tenshinobokujyo-2/,http://yurinavi.com/wp-content/uploads/2023/03/tenshinobokujyo-2.jpg
どうしたら幼馴染の彼女になれますか!? (2),矢坂しゅう,2023-04-17,竹書房,バンブー,,2,,http://yurinavi.com/2023/03/17/osakano-2/,http://yurinavi.com/wp-content/uploads/2023/03/osakano-2.jpg
戦姫完食シンフォギア~調めし~ (3),つたの葉,2023-04-17,竹書房,バンブー,,3,,http://yurinavi.com/2023/03/31/senkikansyoku-3/,http://yurinavi.com/wp-content/uploads/2023/03/senkikansyoku-3.jpg
転生したらあかりだけスライムだった件 (2),水鳥なや / なもり,2023-04-18,一迅社,百合姫,,2,,http://yurinavi.com/2023/03/09/akaridake-2/,http://yurinavi.com/wp-content/uploads/2023/03/tenseishitara-akaridake-2.jpg
アンドロイドは経験人数に入りますか?? (3),焼肉定食,2023-04-18,一迅社,百合姫,,3,,http://yurinavi.com/2023/03/09/androidha-3/,http://yurinavi.com/wp-content/uploads/2023/03/andloidha-3.jpg
踊り場にスカートが鳴る (3),うたたね 游,2023-04-18,一迅社,百合姫,,3,,http://yurinavi.com/2023/03/09/odoriba-3/,http://yurinavi.com/wp-content/uploads/2023/03/odoribani-3.jpeg
コミック百合姫2023年6月号,,2023-04-18,一迅社,,,6,,http://yurinavi.com/2023/04/13/yurihime-202306/,http://yurinavi.com/wp-content/uploads/2023/04/yurihime-202306.jpg
魔法を捨てたい女の子 (1),袴田 めら / 新島 あん,2023-04-18,ホーム,,,1,,http://yurinavi.com/2023/03/21/mahouwosutetai-1/,http://yurinavi.com/wp-content/uploads/2023/03/mahouwosutetai-1.jpg
気になってる人が男じゃなかった (1),新井 すみこ,2023-04-19,カドカワ,,,1,,http://yurinavi.com/2023/02/15/kininatteruhitoga-1/,http://yurinavi.com/wp-content/uploads/2023/02/kininatteruhitoga-1-1.jpg
タダでは抱かれません (4),檜原 フキ,2023-04-20,講談社,ヤンマガ,,4,,http://yurinavi.com/2023/03/20/tadadeha-4/,http://yurinavi.com/wp-content/uploads/2023/03/tadadeha-4.jpg
アサルトリリィ League of Gardens -full bloom- (4),月並甲介,2023-04-20,ﾌﾞｼﾛｰﾄﾞ,,,4,,http://yurinavi.com/2023/03/21/assaultlily-league-4/,http://yurinavi.com/wp-content/uploads/2023/03/asaruto-lily-4.jpg
アサルトリリィ League of Gardens -full bloom- (5),月並甲介,2023-04-20,ﾌﾞｼﾛｰﾄﾞ,,,5,,http://yurinavi.com/2023/03/21/assaultlily-league-5/,http://yurinavi.com/wp-content/uploads/2023/03/asaruto-lily-5.jpg
蜘蛛と制服,入江 君人 / 茨乃,2023-04-20,カドカワ,ﾌｧﾝﾀｼﾞｱ,,1,ERROR,http://yurinavi.com/2023/04/25/kumoto-seihuku/,http://yurinavi.com/wp-content/uploads/2023/04/kumoto-seihuku.jpg
台湾漫遊鉄道のふたり,楊 双子,2023-04-20,中央公,論新社,,1,ERROR,http://yurinavi.com/2023/04/25/taiwanmanyuu/,http://yurinavi.com/wp-content/uploads/2023/04/taiwanmanyuu.jpg
高音さんと嵐ちゃん,なうち,2023-04-21,カドカワ,MFC,,1,ERROR,http://yurinavi.com/2023/03/06/takanesan/,http://yurinavi.com/wp-content/uploads/2023/03/takanesan.jpg
最果てのセレナード (1),ひの 宙子,2023-04-21,講談社,ｱﾌﾀﾇｰﾝ,,1,,http://yurinavi.com/2023/03/30/saihateno-1/,http://yurinavi.com/wp-content/uploads/2023/03/saihateno-1.jpg
私の女神が今日も推せる,川内,2023-04-21,東京漫画,GAGA,,1,ERROR,http://yurinavi.com/2023/04/21/watashinomegamiga/,http://yurinavi.com/wp-content/uploads/2023/04/watashinomegamiga-1.jpg
破局百合アンソロジー セツナ,アンソロジー,2023-04-23,自主制作,,,1,ERROR,http://yurinavi.com/2023/04/26/hakyokuyuri-ansoro/,http://yurinavi.com/wp-content/uploads/2023/04/hakyokuyuri.jpg
MURCIÉLAGO -ムルシエラゴ- (23),よしむらかな,2023-04-25,スクエニ,ガンガン,,23,,http://yurinavi.com/2023/03/21/murcielago-23/,http://yurinavi.com/wp-content/uploads/2023/03/murushi-23.jpg
ステラ・ステップ (2),林星悟 / 餡こたく,2023-04-25,カドカワ,MF,,2,,http://yurinavi.com/2023/04/15/sutera-suteppu-2/,http://yurinavi.com/wp-content/uploads/2023/04/sutera-suteppu-2.jpg
IDOL×IDOL STORY！(1),得能正太郎,2023-04-27,芳文社,,,1,,http://yurinavi.com/2023/03/22/idol-idol-story-1/,http://yurinavi.com/wp-content/uploads/2023/03/idol-idol-story-1.jpg
