title,authors,released,publisher,label,serialization,volume,notification,entry link,img src
シメジ シミュレーション 02,つくみず,2021-01-27,カドカワ,キューン,,02,,https://amzn.to/3qLjudf,http://yurinavi.com/wp-content/uploads/2020/12/shimeji-2.jpg
下を向いて歩こう (2),湖西晶,2021-01-27,芳文社,きらら,,2,,https://amzn.to/3h9HouQ,http://yurinavi.com/wp-content/uploads/2021/01/shitawo-muite-2.jpg
ぬるめた (1),こかむも,2021-01-27,芳文社,きらら,,1,,https://amzn.to/2WzmBXX,http://yurinavi.com/wp-content/uploads/2020/12/nurumeta-1.jpg
舞ちゃんのお姉さん飼育ごはん (2),秋津貴央,2021-01-29,竹書房,バンブー,,2,,https://amzn.to/3jWQgo0,http://yurinavi.com/wp-content/uploads/2021/01/maichan-2.jpg
いちゃらぶしかない百合アンソロジーコミック2,アンソロジー,2021-01-29,一迅社,百合姫,,2,,https://amzn.to/38Ng7Mj,http://yurinavi.com/wp-content/uploads/2021/01/ityarabushikanai-2.jpg
永世乙女の戦い方 (4),くずしろ,2021-01-29,小学館,,,4,,https://amzn.to/37XTByh,http://yurinavi.com/wp-content/uploads/2021/01/eiseotomeno-4.jpg
ガレット No.16,,2020-12-01,ガレット,ワークス,,16,,https://amzn.to/3kto77u,http://yurinavi.com/wp-content/uploads/2020/11/galette-16.jpg
たとえ世界が終わっても、私は彼女を選ばない 1 [DLsite],藤崎ろと,2020-12-01,GANMA,,,1,,https://www.dlsite.com/comic/dlaf/=/t/s/link/work/aid/yurinavi/id/BJ271315.html,http://yurinavi.com/wp-content/uploads/2020/12/tatoesekaiga-1.jpg
文学少女対数学少女,陸 秋槎 / 稲村 文吾,2020-12-03,早川書房,,,1,True,https://amzn.to/36pU394,http://yurinavi.com/wp-content/uploads/2020/11/bungakusyoujyo-tai-suugakusyoujyo.jpg
私の拳をうけとめて! (4),murata,2020-12-04,カドカワ,エース,,4,,https://amzn.to/2HfAVRe,http://yurinavi.com/wp-content/uploads/2020/11/watakobu-4.jpg
うみと人魚ヒメ,萠田まく,2020-12-04,ナンバー,ナイン,,1,True,https://amzn.to/3ocYUjZ,http://yurinavi.com/wp-content/uploads/2020/12/umito-6.jpg
いけないあの子といけない場所で3 保健室,寄田みゆき,2020-12-05,自主制作,,,3,,https://amzn.to/38wsb4C,http://yurinavi.com/wp-content/uploads/2020/11/ikenaianokoto-3.jpg
[漫画版]魔女の旅々(3),白石定規 / 七緒一綺,2020-12-07,スクエニ,ガンガン,,3,,https://amzn.to/31xfqT0,http://yurinavi.com/wp-content/uploads/2020/12/majyonotabitabi-comic-3.jpg
[成人向け]二次元コミックマガジン メスガキvs優しいお姉さんVol.2,アンソロジー,2020-12-07,ｷﾙﾀｲﾑ,二次元,,2,,http://yurinavi.com/2020/12/11/mesugaki-vs-2/,http://yurinavi.com/wp-content/uploads/2020/12/mesugaki-vs-yasashiioneesan-2.jpg
もういっぽん！ 10,村岡ユウ,2020-12-08,秋田書店,ﾁｬﾝﾋﾟｵﾝ,,10,,https://amzn.to/3jGjck0,http://yurinavi.com/wp-content/uploads/2020/11/mouippon-10.jpg
ダイガクちゃん×はいすくーる! 1,馬かのこ,2020-12-09,カドカワ,ドラゴン,,1,,https://amzn.to/3jF3o0g,http://yurinavi.com/wp-content/uploads/2020/11/daigakuchan-1.jpg
放課後スイッチ(3),井上 とさず,2020-12-09,講談社,ヤンマガ,,3,,https://amzn.to/36ylSel,http://yurinavi.com/wp-content/uploads/2020/12/houkago-suitti-3.jpg
この愛を終わらせてくれないか(4),筒井 いつき,2020-12-09,講談社,ヤンマガ,,4,,https://amzn.to/38BI9un,http://yurinavi.com/wp-content/uploads/2020/11/konoaiwo-owarasetekurenaika-4.jpg
事件はスカートの中で 2,ずみ子,2020-12-09,講談社,ヤンマガ,,2,,https://amzn.to/3qxa8lr,http://yurinavi.com/wp-content/uploads/2020/12/jikenha-suka-tononakade-2.jpg
シルバーポールフラワーズ 1,如意自在,2020-12-09,講談社,ﾓｰﾆﾝｸﾞ,,1,,https://amzn.to/3ox9HFT,http://yurinavi.com/wp-content/uploads/2020/12/shiruba-po-ru-1.jpg
趣味のラブホテル 2巻,らぱ☆,2020-12-09,新潮社,バンチ,,2,,https://amzn.to/37qaFgj,http://yurinavi.com/wp-content/uploads/2020/12/syumino-rabuho-2.jpg
〆切前には百合が捗る,平坂読 / U35,2020-12-10,SB,GA文庫,,1,True,https://amzn.to/2GvppR7,http://yurinavi.com/wp-content/uploads/2020/11/shimekirimaeniha-yurigahakadoru-1.jpg
魔女の旅々15,白石定規 / あずーる,2020-12-10,SB,GAノベル,,15,,https://amzn.to/35SKjTp,http://yurinavi.com/wp-content/uploads/2020/11/majyonotabitabi-15.jpg
エンドブルー,入間 人間 / 仲谷 鳰,2020-12-10,カドカワ,電撃文庫,,1,True,https://amzn.to/35h0uuH,http://yurinavi.com/wp-content/uploads/2020/11/end-blue.jpg
こわれたせかいの むこうがわ2 ~少女たちのサバイバル起業術~,陸道 烈夏 / カーミン@よどみない,2020-12-10,カドカワ,電撃文庫,,2,,https://amzn.to/3lDelRM,http://yurinavi.com/wp-content/uploads/2020/11/kowaretasekaino-mukougawa-2.jpg
裏世界ピクニック(5),宮澤伊織 / 水野英多,2020-12-11,スクエニ,ガンガン,,5,,https://amzn.to/2HjroIE,http://yurinavi.com/wp-content/uploads/2020/11/urasekai-comic-5.jpg
ちょっといっぱい! 7,火曜,2020-12-11,芳文社,きらら,,7,,https://amzn.to/3mzKwS6,http://yurinavi.com/wp-content/uploads/2020/11/tyottoippai-7.jpg
推しが武道館いってくれたら死ぬ(7),平尾アウリ,2020-12-11,徳間書店,リュウ,,7,,https://amzn.to/34PQA2L,http://yurinavi.com/wp-content/uploads/2020/11/oshibudou-7.jpg
リリィ・トライアングル 1 [電子版],ツナミノ ユウ,2020-12-12,星海社,,,1,,https://amzn.to/3ovhP9H,http://yurinavi.com/wp-content/uploads/2020/11/lily-triangle-1.jpg
リリィ・トライアングル 1,ツナミノ ユウ,2020-12-14,星海社,,,1,,https://amzn.to/32zibni,http://yurinavi.com/wp-content/uploads/2020/11/lily-triangle-1.jpg
百合心中 猫目堂ココロ譚 １,東雲水生,2020-12-15,秋水社,少女宣言,,１,,https://amzn.to/3fapXJq,http://yurinavi.com/wp-content/uploads/2020/11/yurishinchu-1.jpg
百合オタに百合はご法度です!? 1,U-temo,2020-12-17,双葉社,ｱｸｼｮﾝ,,1,,https://amzn.to/2EYx89v,http://yurinavi.com/wp-content/uploads/2020/12/yuriotani-1.jpg
裏世界ピクニック 5: 八尺様リバイバル,宮澤 伊織,2020-12-17,早川書房,,,5,,https://amzn.to/373kS3s,http://yurinavi.com/wp-content/uploads/2020/11/urasekai-5.jpg
裏世界ピクニック〔ジュニア版〕,宮澤 伊織,2020-12-17,早川書房,,,1,True,https://amzn.to/3lPtzT5,http://yurinavi.com/wp-content/uploads/2020/12/urasekai-jyunia.jpg
上伊那ぼたん、酔へる姿は百合の花 2,塀,2020-12-18,秋田書店,ﾁｬﾝﾋﾟｵﾝ,,2,,https://amzn.to/3cWYBW5,http://yurinavi.com/wp-content/uploads/2020/11/kamiina-botan-2.jpg
サエイズム 9,内水融,2020-12-18,秋田書店,ﾁｬﾝﾋﾟｵﾝ,,9,,https://amzn.to/2GvoRuT,http://yurinavi.com/wp-content/uploads/2020/12/saeizumu-9.jpg
きたない君がいちばんかわいい(3),まにお,2020-12-18,一迅社,百合姫,,3,,https://amzn.to/2FAl5jk,http://yurinavi.com/wp-content/uploads/2020/12/kitanaikimiga-3.jpg
セメルパルス semelparous(2),荻野 純,2020-12-18,一迅社,百合姫,,2,,https://amzn.to/347Xr7k,http://yurinavi.com/wp-content/uploads/2020/12/semelparous-2.jpg
私の推しは悪役令嬢。(1),青乃 下 / いのり。,2020-12-18,一迅社,百合姫,,1,,https://amzn.to/3j4gJ1D,http://yurinavi.com/wp-content/uploads/2020/12/wataoshi-comic-1.jpg
月と恋は満ちれば欠ける。(2),トクヲツム,2020-12-18,一迅社,百合姫,,2,,https://amzn.to/3k6kLrC,http://yurinavi.com/wp-content/uploads/2020/12/tsukito-koiha-2.jpg
リフレクション！！ 百合短編集,merryhachi,2020-12-18,一迅社,百合姫,,1,True,https://amzn.to/2WonjHf,http://yurinavi.com/wp-content/uploads/2020/12/rihurekusyonn.jpg
コミック百合姫2021年2月号,,2020-12-18,一迅社,百合姫,,,,https://amzn.to/36LbBv4,http://yurinavi.com/wp-content/uploads/2020/12/yurihime-202102.jpg
清楚なフリをしてますが(3),倉地千尋,2020-12-18,小学館,サンデー,,3,,https://amzn.to/3kRprSG,http://yurinavi.com/wp-content/uploads/2020/12/seisonahuriwo-3.jpg
アイドル総選挙4位だった私が魔王を倒すんですか? 2,高坂はしやん / 伊予嶺つく,2020-12-18,道玄坂,リーリエ,,4,,https://amzn.to/3fcRha3,http://yurinavi.com/wp-content/uploads/2020/12/aidorusousenkyo-2.jpg
放課後ていぼう日誌 7,小坂泰之,2020-12-18,秋田書店,ﾁｬﾝﾋﾟｵﾝ,,7,,https://amzn.to/3o6iFJN,http://yurinavi.com/wp-content/uploads/2020/11/houkago-teibou-7.jpg
オッドマン11 (2),道満晴明,2020-12-19,コアマガ,,,2,,https://amzn.to/3mizqk1,http://yurinavi.com/wp-content/uploads/2020/12/oddoman11-2.jpg
星に願いを、人形に夢を,キョウト / びよん,2020-12-19,自主制作,,,1,True,https://amzn.to/2KkEmaA,http://yurinavi.com/wp-content/uploads/2020/12/hoshininegaiwo-ningyouniyumewo.jpg
絶対私のこと好きだろ3,ヨウハ,2020-12-19,ライト,リーズン,,3,,https://amzn.to/2JrqH1s,http://yurinavi.com/wp-content/uploads/2020/12/zettaiwatashinokoto-sukidaro-3.jpg
少女漫画主人公×ライバルさん(2),くゥ,2020-12-22,スクエニ,ガンガン,,2,,https://amzn.to/2HtIAes,http://yurinavi.com/wp-content/uploads/2020/11/syoujyomangasyujinkou-2.jpg
猫とシュガーポット,雪子,2020-12-23,幻冬舎,バーズ,,1,True,https://amzn.to/3j5OEqE,http://yurinavi.com/wp-content/uploads/2020/12/nekoto-syuga-.jpg
ガールズ イン ザ ヘル,河合朗,2020-12-23,幻冬舎,バーズ,,1,True,https://amzn.to/3k5wlDl,http://yurinavi.com/wp-content/uploads/2020/12/girls-in-the-hell.jpg
あなたの夜が明けたら,はるかわ陽,2020-12-23,幻冬舎,バーズ,,1,True,https://amzn.to/2FD7mse,http://yurinavi.com/wp-content/uploads/2020/12/anatanoyogaaketara.jpg
ゆるゆり (19),なもり,2020-12-23,一迅社,百合姫,,19,,https://amzn.to/3dJiujJ,http://yurinavi.com/wp-content/uploads/2020/12/yuruyuri-19.jpg
ゆるゆり (19) 特装版,なもり,2020-12-23,一迅社,百合姫,,19,,https://amzn.to/31lCrrP,http://yurinavi.com/wp-content/uploads/2020/12/yuruyuri-19-tokusou.jpg
大室家 (4),なもり,2020-12-23,一迅社,百合姫,,4,,https://amzn.to/3kg3RXF,http://yurinavi.com/wp-content/uploads/2020/12/oomuroke-4.jpg
大室家 (4) 特装版,なもり,2020-12-23,一迅社,百合姫,,4,,https://amzn.to/2HdZRIC,http://yurinavi.com/wp-content/uploads/2020/12/oomuroke-4-tokusou.jpg
ネイルちゃんと深爪さん。ナイショのパフェを半分こ編,アンソロジー,2020-12-24,宙出版,ミッシィ,,1,True,https://amzn.to/3lM18pa,http://yurinavi.com/wp-content/uploads/2020/12/nail-and-fukazume-2.jpg
MURCIÉLAGO -ムルシエラゴ-(18),よしむらかな,2020-12-24,スクエニ,ガンガン,,18,,https://amzn.to/3maBSJy,http://yurinavi.com/wp-content/uploads/2020/12/murushi-18.jpg
兄の嫁と暮らしています。(9),くずしろ,2020-12-24,スクエニ,ガンガン,,9,,https://amzn.to/34PLOm3,http://yurinavi.com/wp-content/uploads/2020/12/aniyome-9.jpg
